"X","fov","volume","center_x","center_y"
65140,1739,222.848975743394,7290.94295448552,8320.97494163437
65212,1739,665.063013230408,7252.38738592578,8403.3302590817
65246,1739,458.947066110189,7272.68870518242,8425.04263830478
54887,1740,1562.7725084022,7379.70269876525,8294.44400519094
55266,1741,511.441426953156,7605.94086490722,8327.61254386851
13664,1742,149.554487809194,7887.31696668589,8292.04144886979
13626,1743,465.212343092129,8054.78252707755,8247.5584099825
65811,1747,833.386667460317,9002.38138318679,8273.37453451354
9466,1747,486.486967614175,9135.38180230659,8330.58730668576
10188,1748,727.613678475284,9185.31159072076,8351.31756558034
9449,1748,1100.71315339105,9340.46938683746,8317.16722986664
1803,1750,767.127569404047,9676.9702042873,8369.23007699319
2340,1751,621.639230563579,9808.35900475601,8357.44539503187
46250,1754,1221.20654995389,10531.9018100455,8369.60883941572
45940,1756,246.965467678166,10700.3769423089,8408.87324609504
54465,1758,230.694252060406,10301.1239216548,8579.18958310562
54579,1759,405.624909559496,10145.5151970962,8412.3692446154
54711,1759,937.869271313494,10009.8406097444,8551.45956388741
1912,1761,457.888104697339,9738.48572028683,8427.17775169815
